benchmark,tree-vectorize,unroll-loops,slp-vectorize,inline-functions,prefetch-loop-arrays,omit-frame-pointer,align-functions,median_exec_time_sec,speedup_vs_O3
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.2793619169970043,1.0094797119907952
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.2792799579910934,1.0097759593630633
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.27915137505624443,1.010241083191913
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.27916504198219627,1.0101916253873846
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2792550210142508,1.0098661305607857
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.279152853472624,1.0102357328723799
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2792488959967159,1.0098882808641396
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.27916337497299537,1.0101976576927842
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.27922485396265984,1.0099752350449611
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.27907270850846544,1.0105258554968222
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.27911831258097664,1.0103607495460074
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.2790484170545824,1.0106138228197532
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2791702499962412,1.010172779925975
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.2791865000035614,1.0101139829745884
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2790620209998451,1.010564556584677
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.2790326669928618,1.010670867144551
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.2790859789820388,1.0104778052267605
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.27909341698978096,1.0104508753843455
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.2792402289924212,1.0099196255815501
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.2791506249923259,1.0102437976597225
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2791607704712078,1.0102070825901321
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.27917177096242085,1.010167276365824
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2792806880315766,1.0097733198059407
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.2790536255342886,1.010594959916335
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.2790193959372118,1.0107189378862877
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.27924081293167546,1.0099175136706628
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.2796678750310093,1.0083753362092922
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.27897556201787665,1.0108777466796939
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2792600829852745,1.009847825355702
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.2790783334639855,1.010505487871294
cat-cat1,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.279047999472823,1.0106153351541867
