benchmark,tree-vectorize,unroll-loops,slp-vectorize,inline-functions,prefetch-loop-arrays,omit-frame-pointer,align-functions,median_exec_time_sec,speedup_vs_O3
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,1.3007523474952905,0.991867338530299
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,1.2874389110002085,1.0021242623425597
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,1.2693972540000686,1.0163672285658834
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,1.2989491510088556,0.9932442451616773
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,1.2947641415012185,0.9964546650954483
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,1.280428201011091,1.0076111788059696
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,1.2886041664969525,1.0012180641201145
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,1.2674056494943216,1.0179643506496558
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,1.2736390680001932,1.0129822501620975
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,1.2719703809998464,1.0143111728616172
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,1.27644549649267,1.0107550792746296
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,1.2953528865036787,0.9960017709765056
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,1.265034439500596,1.0198724467189375
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,1.2556740634900052,1.0274750482711248
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,1.2721573404996889,1.01416210709473
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,1.2926865804911358,0.998056132451697
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,1.2713613855012227,1.0147970386001248
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,1.2803537825020612,1.0076697445888283
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,1.3007387464967906,0.9918777098567624
automotive_basicmath,-ftree-vectorize,-funroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,1.300300311500905,0.992212150982242
